model,wer,std
wav2vec2,0.5500186987219557,0.42230840670387093
hubert,0.5127077070082587,0.44998418219967834
whisper_base,0.5898529981412894,0.6259068152737689
whisper_base_en,0.5627799928742225,0.6207394318012427
