model,wer,cer
wav2vec2,0.6650412986588158,0.4644686272337597
hubert,0.6281996238141969,0.4468818972790101
whisper_base,0.9387675825973176,0.8048842322343136
whisper_base_en,0.8914785737651292,0.7550491278004551
